"pond","month.num","flux","Time.m","O2"
6,1,"light",47,11.9643801799
6,1,"light",48,11.9996473285
6,1,"light",49,11.9820137542
6,1,"light",50,11.9820137542
6,1,"light",51,12.0731205549
6,1,"light",52,12.1642273556
6,1,"light",53,12.2729677306
6,1,"light",54,12.3464409569
6,1,"light",55,12.3640745312
6,1,"light",56,12.3258684535
6,1,"light",57,12.3993416799
6,1,"light",58,12.2377005819
6,1,"light",59,12.1994945042
6,1,"light",60,12.1465937812
6,1,"light",61,12.2553341562
6,1,"light",62,12.2171280785
6,1,"light",63,12.2906013049
6,1,"light",64,12.2171280785
6,1,"light",65,12.1289602069
6,1,"light",66,12.1994945042
6,1,"light",67,12.3640745312
6,1,"light",68,12.5257156292
6,1,"light",69,12.7255628049
6,1,"light",70,12.7608299536
6,1,"light",71,12.5433492036
6,1,"light",72,12.7079292306
6,1,"light",73,12.6697231529
6,1,"light",74,12.8343031799
6,1,"light",75,12.9077764063
10,1,"dark",1,16.4898665624
10,1,"dark",2,16.4200770476
10,1,"dark",3,16.4200770476
10,1,"dark",4,16.3530791134
10,1,"dark",5,16.3167885657
10,1,"dark",6,16.266540115
10,1,"dark",7,16.2497906315
10,1,"dark",8,16.2302495673
10,1,"dark",9,16.1967506002
10,1,"dark",10,16.1800011166
10,1,"dark",11,16.1465021495
10,1,"dark",12,16.1269610854
10,1,"dark",13,16.0767126347
10,1,"dark",14,16.0236726034
10,1,"dark",15,15.937133605
10,1,"dark",16,15.8868851544
10,1,"dark",17,15.8533861873
10,1,"dark",18,15.8338451231
10,1,"dark",19,15.8533861873
10,1,"dark",20,15.8170956396
10,1,"dark",21,15.8533861873
10,1,"dark",22,15.800346156
10,1,"dark",23,15.8170956396
10,1,"dark",24,15.7500977053
10,1,"dark",25,15.7668471889
10,1,"dark",26,15.7668471889
10,1,"dark",27,15.7668471889
10,1,"dark",28,15.7305566412
10,1,"dark",29,15.6970576741
10,1,"dark",30,15.6635587069
10,1,"dark",31,15.6803081905
10,1,"dark",32,15.6468092234
17,1,"dark",1,8.7937339395
17,1,"dark",2,8.7492587468
17,1,"dark",3,8.3539237003
17,1,"dark",4,8.1241352046
17,1,"dark",5,7.9857679383
17,1,"dark",6,7.9116426171
17,1,"dark",7,7.8350464519
17,1,"dark",8,7.7881004151
17,1,"dark",9,7.7288001581
17,1,"dark",10,7.6966791856
17,1,"dark",11,7.6670290571
17,1,"dark",12,7.6200830204
17,1,"dark",13,7.5904328919
17,1,"dark",14,7.5756078276
17,1,"dark",15,7.5459576992
17,1,"dark",16,7.5286617909
17,1,"dark",17,7.5138367266
17,1,"dark",18,7.4990116624
17,1,"dark",19,7.4990116624
17,1,"dark",20,7.4841865981
17,1,"dark",21,7.4545364697
17,1,"dark",22,7.3927653686
17,1,"dark",23,7.4224154971
17,1,"dark",24,7.3458193319
17,1,"dark",25,7.3458193319
17,1,"dark",26,7.3631152402
17,1,"dark",27,7.3779403044
17,1,"dark",28,7.3779403044
17,1,"dark",29,7.3779403044
17,1,"dark",30,7.3631152402
17,1,"dark",31,7.3631152402
17,1,"dark",32,7.3458193319
17,1,"dark",33,7.3458193319
17,1,"dark",34,7.3161692034
17,1,"dark",35,7.3161692034
20,1,"dark",1,15.4469540566
20,1,"dark",2,15.3914892306
20,1,"dark",3,15.3545126799
20,1,"dark",4,15.3144547499
20,1,"dark",5,15.2589899239
20,1,"dark",6,15.218931994
20,1,"dark",7,15.1634671679
20,1,"dark",8,15.1449788926
20,1,"dark",9,15.1049209626
20,1,"dark",10,15.0679444119
20,1,"dark",11,15.0494561366
20,1,"dark",12,15.0093982066
20,1,"dark",13,14.9724216559
20,1,"dark",14,14.9539333806
20,1,"dark",15,14.9169568299
20,1,"dark",16,14.8768988999
20,1,"dark",17,14.8584106246
20,1,"dark",18,14.7628878686
20,1,"dark",19,14.7074230426
20,1,"dark",20,14.6889347672
20,1,"dark",21,14.6673651126
20,1,"dark",22,14.6488768373
20,1,"dark",23,14.6303885619
20,1,"dark",24,14.6119002866
20,1,"dark",25,14.5934120112
20,1,"dark",26,14.5749237359
20,1,"dark",27,14.5533540813
20,1,"dark",28,14.5163775306
20,1,"dark",29,14.5163775306
20,1,"dark",30,14.4978892552
20,1,"dark",31,14.4794009799
20,1,"dark",32,14.4609127045
